#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"68-07-15-6c-fc-d7","10.0.24.1","t_austin_nb.tscrm.com"
"d0-57-7b-52-e3-65","10.0.24.2","a_khardikov_n.tscrm.com"
"28-3a-4d-4e-be-cb","10.0.24.3","r_prus_nb.tscrm.com"
"00-db-df-c8-94-a2","10.0.24.4","s_zhadanova_n.tscrm.com"
"e0-94-67-a5-e4-8e","10.0.24.5","a_hlazkov_nb.tscrm.com"
"00-db-df-60-e6-e0","10.0.24.6","a_voloshchenko.tscrm.com"
"08-d4-0c-f2-4b-26","10.0.24.8","d_smirnova_nb.tscrm.com"
"28-3a-4d-4e-b7-11","10.0.24.9","a_kazmirchuk_nb.tscrm.com"
"88-b1-11-c3-cb-25","10.0.24.10","v_korol_n.tscrm.com"
"90-32-4b-63-9e-67","10.0.24.11","i_nechay_nb.tscrm.com"
"dc-71-96-c8-16-7b","10.0.24.12","a_polishchuk_n.tscrm.com"
"28-3a-4d-4e-c5-5f","10.0.24.13","i_stetsenko_nb.tscrm.com"
"28-3a-4d-4e-b6-31","10.0.24.14","m_shavritskiy.tscrm.com"
"28-3a-4d-4e-bb-41","10.0.24.15","d_pereselkin_nb.tscrm.com"
"68-07-15-93-e8-51","10.0.24.16","j_rusnak_nb.tscrm.com"
"c8-21-58-b4-94-ed","10.0.24.17","J_Ptukha_NB.tscrm.com"
"f8-94-c2-d8-18-50","10.0.24.18","o_kravchuk_nb.tscrm.com"
"88-b1-11-c3-cb-02","10.0.24.19","L_Yaroshenko_NB.tscrm.com"
"dc-71-96-c9-02-75","10.0.24.20","a_yukhta_n.tscrm.com"
"90-32-4b-90-a0-49","10.0.24.21","k_bondarenko_nb.tscrm.com"
"e0-94-67-55-0b-31","10.0.24.22","d_nezabytovsky_.tscrm.com"
"28-3a-4d-4e-c1-41","10.0.24.23","t_khodan_n.tscrm.com"
"40-74-e0-1b-f4-95","10.0.24.24","m_solomanchuk_n.tscrm.com"
"08-d4-0c-f2-4b-b7","10.0.24.25","v_abysova_nb.tscrm.com"
"68-07-15-9f-96-9c","10.0.24.26","a_lozhkin_n.tscrm.com"
"dc-a2-66-66-57-8d","10.0.24.27","s_kutishchev_n.tscrm.com"
"08-d4-0c-dc-f6-a9","10.0.24.28","a_andrushchenko.tscrm.com"
"00-db-df-5a-f9-15","10.0.24.29","d_fedchenko_nb.tscrm.com"
"dc-71-96-c8-16-cb","10.0.24.30","a_overchenko_nb.tscrm.com"
"e0-94-67-55-03-e8","10.0.24.31","n_shcherbakov.tscrm.com"
"90-32-4b-63-a1-49","10.0.24.32","d_milenko_nb.tscrm.com"
"00-db-df-5a-da-f7","10.0.24.33","a_polishchuk_nb.tscrm.com"
"90-32-4b-63-9e-a7","10.0.24.34","a_ten_nb.tscrm.com"
"7c-b0-c2-72-e0-34","10.0.24.35","s_kononenko_nb.tscrm.com"
"90-32-4b-90-62-61","10.0.24.36","j_yanchuk_nb.tscrm.com"
"28-3a-4d-4e-b7-1d","10.0.24.37","e_myronova_n.tscrm.com"
"28-3a-4d-4e-b6-33","10.0.24.38","a_grod_n.tscrm.com"
"28-3a-4d-4e-be-d3","10.0.24.39","p_kravchenko_nb.tscrm.com"
"c8-21-58-b4-94-c5","10.0.24.40","a_rudyk_nb.tscrm.com"
"0c-8b-fd-b4-75-a3","10.0.24.41","e_sitovskaya_nb.tscrm.com"
"0c-8b-fd-b4-d2-9b","10.0.24.42","o_zablodskaya_n.tscrm.com"
"0c-8b-fd-b2-71-e5","10.0.24.43","e_zhyvets_nb.tscrm.com"
"7c-b0-c2-23-ca-0d","10.0.24.44","d_kiper_nb.tscrm.com"
"00-db-df-54-4f-75","10.0.24.45","d_shevchuk_nb.tscrm.com"
"0c-96-e6-90-fb-53","10.0.24.46","a_stadnichen_nb.tscrm.com"
"dc-71-96-c8-16-a3","10.0.24.47","d_korol_nb.tscrm.com"
"0c-96-e6-91-4d-eb","10.0.24.48","v_zhakun_nb.tscrm.com"
"28-3a-4d-4e-be-bd","10.0.24.49","a_kubyshkin_nb.tscrm.com"
"08-d4-0c-ec-da-f1","10.0.24.50","M_Tykhun_NB.tscrm.com"
"28-3a-4d-4e-b7-71","10.0.24.51","d_pavlov_n.tscrm.com"
"08-d4-0c-dd-0e-73","10.0.24.52","m_kilimnik_nb.tscrm.com"
"f4-b7-e2-79-2e-79","10.0.24.53","sales_brains_nb.tscrm.com"
"40-74-e0-26-86-c1","10.0.24.54","o_zmiiova_nb.tscrm.com"
"68-07-15-96-ba-cc","10.0.24.55","m_gorokhovska_n.tscrm.com"
"0c-8b-fd-b4-76-16","10.0.24.56","i_samoilenko_n.tscrm.com"
"e0-94-67-38-b4-d1","10.0.24.57","s_melnichenko_n.tscrm.com"
"0c-8b-fd-b4-de-df","10.0.24.58","o_grigorjeva_n.tscrm.com"
"00-db-df-5a-db-ba","10.0.24.59","n_inederkina_nb.tscrm.com"
"b0-52-16-55-81-9f","10.0.24.60","a_bakhmetov_n.tscrm.com"
"ac-2b-6e-65-df-ec","10.0.24.61","a_minadieva_nb.tscrm.com"
"68-07-15-93-e8-2e","10.0.24.62","n_bondar_nb.tscrm.com"
"28-3a-4d-4e-b7-75","10.0.24.63","n_romanova_nb.tscrm.com"
"00-db-df-53-a9-21","10.0.24.64","l_mikolenko_nb.tscrm.com"
"00-db-df-5e-e1-83","10.0.24.65","o_ievko_nb.tscrm.com"
"94-b8-6d-34-21-1e","10.0.24.66","d_vilshansky_nb.tscrm.com"
"08-d4-0c-dc-f6-b3","10.0.24.67","d_moskovchuk_n.tscrm.com"
"e0-94-67-a5-e4-89","10.0.24.68","k_tymchenko_nb.tscrm.com"
"40-74-e0-1b-cb-05","10.0.24.69","n_antontseva_n.tscrm.com"
"80-a5-89-cc-3e-79","10.0.24.70","TSSTATS3-5.tscrm.com"
"e0-94-67-25-6f-43","10.0.24.71","k_burenko_nb.tscrm.com"
"28-3a-4d-4e-b5-63","10.0.24.72","a_vitushko_nb.tscrm.com"
"2c-6e-85-42-82-db","10.0.24.73","tsstats2-3.tscrm.com"
"08-d4-0c-ee-6f-83","10.0.24.74","i_faichak_nb.tscrm.com"
"7c-b0-c2-72-dd-78","10.0.24.75","N_Matamoros_NB.tscrm.com"
"90-32-4b-63-9e-8d","10.0.24.76","j_sukhaniuk_n.tscrm.com"
"40-74-e0-1b-f6-c0","10.0.24.77","e_lemesh_n.tscrm.com"
"88-b1-11-cb-0d-90","10.0.24.78","v_nikonov_n.tscrm.com"
"e0-94-67-4d-e9-05","10.0.24.79","h_afify_nb.tscrm.com"
"00-db-df-60-f2-9d","10.0.24.80","y_aleyev_n.tscrm.com"
"7c-b0-c2-e8-d4-47","10.0.24.81","a_lazorenko_n.tscrm.com"
"90-32-4b-90-c2-f5","10.0.24.82","n_klymenko_nb.tscrm.com"
"f8-94-c2-d8-18-0f","10.0.24.83","a_gura_n.tscrm.com"
"ac-2b-6e-65-df-65","10.0.24.84","s_kravchenko_nb.tscrm.com"
"9c-30-5b-ad-01-45","10.0.24.85","s_bulanov_nb.tscrm.com"
"0c-8b-fd-b4-d2-a0","10.0.24.86","t_stupak_nb.tscrm.com"
"68-07-15-96-ba-bd","10.0.24.87","l_darsalia_nb.tscrm.com"
"68-07-15-9f-97-50","10.0.24.88","i_suprun_nb.tscrm.com"
"ac-2b-6e-65-e0-d7","10.0.24.89","I_Pokhilenko_NB.tscrm.com"
"68-07-15-96-bb-30","10.0.24.90","a_moskvytina_nb.tscrm.com"
"08-d4-0c-ee-5a-25","10.0.24.91","v_yaremchuk_n.tscrm.com"
"20-79-18-2e-fc-fc","10.0.24.92","o_noha_nb.tscrm.com"
"08-d4-0c-f2-36-4f","10.0.24.93","e_moshenets_nb.tscrm.com"
"e0-94-67-54-ee-a3","10.0.24.94","i_ravinskaya_nb.tscrm.com"
"7c-b0-c2-72-ea-2f","10.0.24.95","V_Serikova_N.tscrm.com"
"7c-b0-c2-e8-da-28","10.0.24.96","V_Averin_NB.tscrm.com"
"e0-94-67-25-5c-60","10.0.24.97","J_haletska_n.tscrm.com"
"e0-94-67-54-ee-df","10.0.24.98","a_bondarenko_nb.tscrm.com"
"ac-2b-6e-65-e0-dc","10.0.24.99","v_bilay_nb.tscrm.com"
"68-07-15-93-e8-1f","10.0.24.100","k_tatarenko_n.tscrm.com"
"7c-b0-c2-33-99-dd","10.0.24.101","t_prikhodko_nb.tscrm.com"
"68-07-15-96-b7-b1","10.0.24.102","N_Bershadskiy_N.tscrm.com"
"c8-21-58-b4-94-bb","10.0.24.103","M_Poliashko_N.tscrm.com"
"34-23-87-4b-2d-fd","10.0.24.104","BPMS_UX_NB.tscrm.com"
"ac-2b-6e-65-df-24","10.0.24.105","b_denysiuk_nb.tscrm.com"
"08-d4-0c-dc-f6-bd","10.0.24.106","s_kachan_nb.tscrm.com"
"28-3a-4d-4e-b7-49","10.0.24.107","d_zigulya_nb.tscrm.com"
"90-32-4b-90-c8-bb","10.0.24.108","e_kolosov_nb.tscrm.com"
"28-3a-4d-4e-b7-6f","10.0.24.109","a_sych_nb.tscrm.com"
"00-db-df-5a-f9-24","10.0.24.110","r_novak_nb.tscrm.com"
"34-23-87-58-c7-77","10.0.24.111","mbd_mr_team_nb.tscrm.com"
"0c-8b-fd-b4-de-c6","10.0.24.112","t_ovsiukhno_nb.tscrm.com"
"e0-94-67-36-86-66","10.0.24.113","e_skudnova_nb.tscrm.com"
"00-db-df-5a-af-eb","10.0.24.114","m_shportak_nb.tscrm.com"
"28-3a-4d-4e-be-9f","10.0.24.115","e_smetanenko_nb.tscrm.com"
"00-db-df-60-f0-90","10.0.24.116","m_kikteva_nb.tscrm.com"
"a0-d3-7a-1d-1f-32","10.0.24.117","TSSTATS5-1.tscrm.com"
"20-16-d8-00-00-2a","10.0.24.118","o_portianko_nb.tscrm.com"
"b0-52-16-55-88-57","10.0.24.119","o_khurtyk_nb.tscrm.com"
"90-32-4b-63-a2-07","10.0.24.120","a_kazancev_nb.tscrm.com"
"7c-b0-c2-72-de-b3","10.0.24.121","d_zharenko_n.tscrm.com"
"28-3a-4d-4e-b7-1f","10.0.24.122","a_bovshovskyi.tscrm.com"
"90-32-4b-63-9e-8f","10.0.24.123","n_zaitseva_nb.tscrm.com"
"68-07-15-6b-68-31","10.0.24.124","B_Khlimonenko_N.tscrm.com"
"08-d4-0c-dc-7f-cb","10.0.24.125","y_kuznietsova_n.tscrm.com"
"68-07-15-66-fb-f7","10.0.24.126","a_stratiienko_n.tscrm.com"
"68-07-15-96-bb-58","10.0.24.127","artem_artemov_n.tscrm.com"
"e0-94-67-25-6f-84","10.0.24.128","a_chernov_nb.tscrm.com"
"e0-94-67-4d-f2-f6","10.0.24.129","g_shkuropat_nb.tscrm.com"
"00-db-df-ce-b4-db","10.0.24.130","v_kubysheva_nb.tscrm.com"
"f4-b7-e2-79-2e-eb","10.0.24.131","a_dudka_nb.tscrm.com"
"0c-8b-fd-b2-70-64","10.0.24.132","v_naboka_nb.tscrm.com"
"9c-30-5b-ad-0e-5b","10.0.24.133","k_kropyvianska_.tscrm.com"
"90-32-4b-63-9e-2f","10.0.24.134","n_kozhevnikov_n.tscrm.com"
"dc-a2-66-66-57-a3","10.0.24.135","v_sarbash_nb.tscrm.com"
"40-74-e0-1b-f6-f2","10.0.24.136","a_ostapchuk_nb.tscrm.com"
"0c-8b-fd-b4-c1-52","10.0.24.137","e_polunina_nb.tscrm.com"
"90-32-4b-63-a1-e3","10.0.24.138","m_kukhar_n.tscrm.com"
"28-3a-4d-4e-b5-5f","10.0.24.139","n_zatsarynna_n.tscrm.com"
"90-32-4b-63-a1-a9","10.0.24.140","s_shishkin_n.tscrm.com"
"28-3a-4d-4e-b7-0f","10.0.24.141","m_petrova_nb.tscrm.com"
"e0-94-67-25-70-15","10.0.24.142","d_liutenko_nb.tscrm.com"
"28-3a-4d-4e-b2-73","10.0.24.143","n_kovalskii_nb.tscrm.com"
"b0-52-16-55-53-73","10.0.24.144","m_yudin_n.tscrm.com"
"28-3a-4d-4e-be-a1","10.0.24.145","n_zhukovskaya_n.tscrm.com"
"28-3a-4d-4e-dd-13","10.0.24.146","y_duzhyk_nb.tscrm.com"
"e0-94-67-55-03-7a","10.0.24.147","t_bizyuk_nb.tscrm.com"
"d0-57-7b-5c-d6-0e","10.0.24.148","K_romas_nb.tscrm.com"
"90-32-4b-63-a1-51","10.0.24.149","v_yankovskaya_nb.tscrm.com"
"08-d4-0c-dc-7d-0f","10.0.24.150","o_vasilevskyi_.tscrm.com"
"00-db-df-5a-ad-0c","10.0.24.151","n_greder_nb.tscrm.com"
"90-32-4b-90-ce-35","10.0.24.152","d_gamora_n.tscrm.com"
"88-b1-11-c3-cb-4d","10.0.24.153","v_maliy_nb.tscrm.com"
"68-07-15-69-67-93","10.0.24.154","k_tsopa_nb.tscrm.com"
"80-a5-89-cc-65-99","10.0.24.155","tsstats4-1.tscrm.com"
"0c-8b-fd-b4-d2-b9","10.0.24.156","n_romanyuk.tscrm.com"
"0c-96-e6-91-5f-17","10.0.24.157","b_golikov_nb.tscrm.com"
"00-db-df-5a-a3-fc","10.0.24.158","f_batainekh_nb.tscrm.com"
"68-07-15-6c-fb-a6","10.0.24.159","y_rudenko_nb.tscrm.com"
"ac-2b-6e-65-e2-4e","10.0.24.160","E_shyshko_nb.tscrm.com"
"90-32-4b-63-9e-81","10.0.24.161","d_pecheritsa_nb.tscrm.com"
"f4-b7-e2-79-2e-d7","10.0.24.162","I_Lazorenko_NB.tscrm.com"
"9c-30-5b-ac-d6-45","10.0.24.163","a_shovkun_nb.tscrm.com"
"00-db-df-60-e8-02","10.0.24.164","n_sereda_n.tscrm.com"
"7c-b0-c2-6e-01-a9","10.0.24.165","n_netrebko_nb.tscrm.com"
"f8-2f-a8-c4-2c-6b","10.0.24.166","k_tsopa_sup.tscrm.com"
"ac-2b-6e-65-de-70","10.0.24.167","n_karpunina_n.tscrm.com"
"3c-77-e6-17-ed-ab","10.0.24.168","hr_team02_nb.tscrm.com"
"28-3a-4d-4e-b7-21","10.0.24.169","s_taran_n.tscrm.com"
"0c-8b-fd-b4-de-bc","10.0.24.170","a_mykhailova_nb.tscrm.com"
"0c-8b-fd-b4-d2-af","10.0.24.171","a_savran_nb.tscrm.com"
"e0-94-67-54-ef-02","10.0.24.172","y_kalko_nb.tscrm.com"
"68-07-15-96-bb-2b","10.0.24.173","v_moskalchuk_nb.tscrm.com"
"28-3a-4d-4e-be-9d","10.0.24.174","s_bodyaka_n.tscrm.com"
"00-db-df-5a-a3-3e","10.0.24.175","r_akhmedov.tscrm.com"
"68-07-15-96-b8-5b","10.0.24.176","m_vialkina_nb.tscrm.com"
"94-b8-6d-35-c5-aa","10.0.24.177","m_sigeda_n.tscrm.com"
"68-07-15-6b-68-81","10.0.24.178","V_Romaniuk_N.tscrm.com"
"c8-21-58-b4-94-fc","10.0.24.179","v_guseva_nb.tscrm.com"
"b0-52-16-6a-2d-0b","10.0.24.180","e_tsymbal_nb.tscrm.com"
"88-b1-11-cb-0d-2c","10.0.24.181","v_gorelik_nb.tscrm.com"
"7c-b0-c2-72-de-ae","10.0.24.182","k_krylov_nb.tscrm.com"
"68-07-15-9d-2f-d3","10.0.24.183","y_hryshchenko_n.tscrm.com"
"7c-b0-c2-72-df-85","10.0.24.184","k_tsybulska_nb.tscrm.com"
"28-3a-4d-4e-db-03","10.0.24.185","I_TAYLOR_NB.tscrm.com"
"40-74-e0-25-3d-fc","10.0.24.186","r_revva_nb.tscrm.com"
"7c-b0-c2-e8-d5-64","10.0.24.187","m_voitovych_nb.tscrm.com"
