#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"90-78-b2-7a-1d-2b","10.10.31.10","Redmi8-Redmi"
"00-9d-6b-2b-9f-8d","10.10.31.11","Galaxy-S9"
"a8-db-03-57-54-4d","10.10.31.12","Galaxy-S10"
"0c-dd-24-ea-94-e4","10.10.31.13","Sazikova-Tatiana"
"b0-68-e6-81-d3-4f","10.10.31.14","DESKTOP-T05M33K"
"b4-9c-df-2f-8b-c3","10.10.31.15","iPhone-Svetlana"
"d0-81-7a-8e-45-b0","10.10.31.16","iPhone-3"
"d8-ce-3a-8f-36-a4","10.10.31.17","MI8-MiPhone"
"60-ab-67-90-31-5b","10.10.31.18",
"a8-db-03-95-bc-ec","10.10.31.19","Isaev-Sergey"
"80-b0-3d-ed-76-47","10.10.31.20","iPhone"
"b0-19-c6-d6-2b-4e","10.10.31.21","iPhoneAnuta"
"54-62-e2-67-cd-3a","10.10.31.22","AnnasAppleWatch"
"98-9e-63-8b-83-c4","10.10.31.23","iPhoneMakzomira"
"04-b1-67-5e-83-16","10.10.31.24",
"0c-dd-24-ea-93-2c","10.10.31.25","DESKTOP-OR7RL8Q"
"50-8f-4c-78-77-d1","10.10.31.26","Redmi4X-Redmi"
"04-4b-ed-0e-75-22","10.10.31.27","Irina-Trusova"
"88-e9-fe-b1-32-d4","10.10.31.28","iPhone-Lyubov"
"c8-3c-85-43-94-ed","10.10.31.29","iPhoneX256.Kalinin"
"28-3a-4d-5f-f5-4f","10.10.31.30","WorkPC"
"e0-cb-ee-a3-80-db","10.10.31.31","android-f7022409b46d62c1"
"cc-fa-00-ad-23-5c","10.10.31.32","android-a06b562617442020"
"e0-dc-ff-11-78-a1","10.10.31.33","RedmiNote7-Mi"
"a8-9c-ed-88-3e-52","10.10.31.34","MI9-Mi9"
"4c-49-e3-54-83-3a","10.10.31.35","MI6-VikPhone"
"14-60-cb-25-4a-62","10.10.31.36","iPhone-Angelina"
"3c-f0-11-41-55-2d","10.10.31.37","m_kilasov_nb.tscrm.com"
"54-99-63-f3-ba-94","10.10.31.38","iPhone-Evgeny"
"e8-d8-19-37-37-61","10.10.31.39",
"c0-9a-d0-9e-7d-f0","10.10.31.40","Stub"
"c8-3c-85-0c-c1-10","10.10.31.41","AppleWatch-stub"
"0c-dd-24-ea-e7-af","10.10.31.42","DESKTOP-HUSE9KD"
"18-19-d6-14-4e-66","10.10.31.43","HAL-9000-mobile"
"60-9a-c1-83-88-37","10.10.31.44","AppleWachEvgeny"
"48-2c-a0-73-09-7f","10.10.31.45","MI8-MiPhone"
"ac-1f-74-0a-2b-8b","10.10.31.46","Anastasiia"
"8c-fe-57-ad-fe-81","10.10.31.47","iPad"
"b4-9c-df-42-71-70","10.10.31.48","iPhone-Tatana"
"a4-9b-4f-14-aa-c7","10.10.31.49","HUAWEI_P30_Pro-8ee1b09f83"
"dc-fb-48-2c-98-68","10.10.31.50","S_Berezhnoy_nb.tscrm.com"
"40-4d-7f-71-bb-05","10.10.31.51","p17ros"
"3c-f0-11-41-91-28","10.10.31.52","m_sokolskih_nb.tscrm.com"
"84-8e-df-51-18-c7","10.10.31.53","android-7b37440257135758"
"58-20-59-72-03-0f","10.10.31.54",
"c4-85-08-94-ff-75","10.10.31.55","norbit-asus.norbit.ru"
"dc-fb-48-32-34-08","10.10.31.56","M_Lebedev_nb.tscrm.com"
"9c-30-5b-ad-0e-53","10.10.31.57","a_osipova_nb.tscrm.com"
"34-7c-25-cb-51-7e","10.10.31.58","AppleWatchVadim"
"3b-1f-0a-0a","10.10.31.59","BAD_ADDRESS"
"3c-1f-0a-0a","10.10.31.60","BAD_ADDRESS"
"94-65-2d-43-50-6b","10.10.31.61","OnePlus5T"
"dc-fb-48-32-a7-35","10.10.31.62","a_chentsov_nb.tscrm.com"
"3f-1f-0a-0a","10.10.31.63","BAD_ADDRESS"
"b0-52-16-55-81-a5","10.10.31.64","a_kalinin_nb.tscrm.com"
"7c-76-68-dd-07-65","10.10.31.65","HUAWEI_nova_3-402ba8b44d1"
"40-4d-7f-6b-20-31","10.10.31.66","iPhonePlzovatel"
"98-fe-94-48-aa-c6","10.10.31.67","Air-Vadim"
"bc-e1-43-6a-39-96","10.10.31.68","iPhone-Vadim"
"24-18-1d-a0-2b-84","10.10.31.69","Galaxy-S9"
"20-f4-78-29-3c-36","10.10.31.70","MiNote10Pro-MiPhone"
"ac-2b-6e-66-8e-a6","10.10.31.71","a_domnitskyi_nb.tscrm.com"
"e8-36-17-94-2c-2b","10.10.31.72","AppleWaAngelina"
"9c-2e-a1-93-8c-b7","10.10.31.73","Redmi5Plus-TheDuckSa"
"54-fc-f0-3c-c8-9c","10.10.31.74","android-9b3005c9c7a4ffa8"
"80-a5-89-cc-43-29","10.10.31.76","TSShow_MSK"
"dc-fb-48-32-34-03","10.10.31.83","a_savelyev_nb.tscrm.com"
"94-b8-6d-34-33-ed","10.10.31.85","e_vasylenko_nb.tscrm.com"
