#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"ec-8e-b5-5b-ef-09","10.0.5.2","v_mashyn_nb.tscrm.com"
"1c-1b-0d-86-57-16","10.0.5.3","minint-f9jmd1u.tscrm.com"
"1c-1b-0d-2a-98-2f","10.0.5.4","minint-pdgonk5.tscrm.com"
"ec-8e-b5-42-b2-c8","10.0.5.5","j_chiryukova_nb.tscrm.com"
"70-5a-0f-21-14-ae","10.0.5.6","o_ievko_nb.tscrm.com"
"40-b0-34-48-bd-aa","10.0.5.7","o_holovko_nb.tscrm.com"
"1c-1b-0d-26-8b-d0","10.0.5.8","minint-nl3gu1r.tscrm.com"
"98-e7-f4-4d-59-72","10.0.5.9","k_tatarenko_n.tscrm.com"
"00-04-f2-fc-4f-e9","10.0.5.10","Polycom_0004f2fc4fe9.tscrm.com"
"40-8d-5c-d7-33-1e","10.0.5.11","minint-tuqk3gc.tscrm.com"
"0c-05-00-0a","10.0.5.12","BAD_ADDRESS"
"1c-1b-0d-6f-6e-5a","10.0.5.13","a_daniliuk.tscrm.com"
"1c-1b-0d-86-56-e5","10.0.5.14","minint-8ftot7b.tscrm.com"
"dc-4a-3e-de-8f-f8","10.0.5.15","i_ravinskaya_nb.tscrm.com"
"28-d2-44-4d-ca-e8","10.0.5.16","a_mykhailova_nb.tscrm.com"
"1c-1b-0d-86-58-0f","10.0.5.17","minint-gob9d98.tscrm.com"
"fc-aa-14-ff-9f-c9","10.0.5.18","minint-9hfdb4e.tscrm.com"
"ec-8e-b5-5b-ee-45","10.0.5.19","B_Khlimonenko_N.tscrm.com"
"b4-b6-86-df-53-9b","10.0.5.20","H_TAIMUR_N.tscrm.com"
"00-0b-82-45-76-4c","10.0.5.21","BAD_ADDRESS"
"40-8d-5c-d7-fe-b3","10.0.5.22","minint-ei6vmoc.tscrm.com"
"1c-1b-0d-82-fb-f7","10.0.5.23","i_solovey.tscrm.com"
"40-8d-5c-d6-00-5e","10.0.5.24","minint-9cdsbhn.tscrm.com"
"00-0b-82-bb-56-c7","10.0.5.25",
"00-0b-82-90-62-d7","10.0.5.26","BAD_ADDRESS"
"00-0b-82-8f-0d-0c","10.0.5.27",
"c8-d3-ff-ea-7e-b2","10.0.5.28","a_minadieva_nb.tscrm.com"
"d8-cb-8a-df-c4-f8","10.0.5.29","e_lysenko.tscrm.com"
"b4-b6-86-df-51-04","10.0.5.30","l_sotnikova_nb.tscrm.com"
"70-5a-0f-1f-f5-28","10.0.5.31","b_kravchenko_nb.tscrm.com"
"70-5a-0f-21-18-56","10.0.5.32","m_kikteva_nb.tscrm.com"
"e4-e7-49-43-9e-04","10.0.5.33","e_krasavchikova.tscrm.com"
"00-0b-82-45-1f-80","10.0.5.34",
"00-0b-82-57-17-09","10.0.5.35",
"70-5a-0f-21-18-64","10.0.5.36","w_obiana_nb.tscrm.com"
"c8-d3-ff-e2-20-09","10.0.5.37","y_kobryn_nb.tscrm.com"
"10-e7-c6-df-05-5b","10.0.5.38","k_kropyvianska_.tscrm.com"
"e4-11-5b-2b-f9-d2","10.0.5.39","v_goloschapova.tscrm.com"
"1c-1b-0d-2a-98-64","10.0.5.40","m_kizilova.tscrm.com"
"40-b0-34-48-b3-de","10.0.5.41","k_krylov_nb.tscrm.com"
"98-e7-f4-4d-59-1f","10.0.5.42","m_gorokhovska_n.tscrm.com"
"3c-52-82-32-bb-f3","10.0.5.43","M_Poliashko_N.tscrm.com"
"84-a9-3e-09-42-06","10.0.5.44","a_taran_nb.tscrm.com"
