#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"54-ee-75-93-73-f6","10.0.4.1","PRESENT1_NB.tscrm.com"
"1c-1b-0d-2a-98-0d","10.0.4.2","minint-97bt6r7.tscrm.com"
"1c-1b-0d-86-58-da","10.0.4.3","minint-amo89ia.tscrm.com"
"84-a9-3e-0a-ce-62","10.0.4.4","d_pereselkin_nb.tscrm.com"
"40-b0-34-48-c4-82","10.0.4.5","d_parshuto_nb.tscrm.com"
"70-5a-0f-21-1d-43","10.0.4.6","a_drymchenko_nb.tscrm.com"
"1c-1b-0d-2a-98-7d","10.0.4.7","minint-ll5hdc6.tscrm.com"
"f8-b4-6a-a2-00-ea","10.0.4.8","a_yukhta_n.tscrm.com"
"98-e7-f4-4d-59-f4","10.0.4.9","y_hryshchenko_n.tscrm.com"
"35-85-e4-4a-00-01-00-01-25-1b-8d-15-74-d4-35-85-e4-4a","10.0.4.10","debian.tscrm.com"
"ec-8e-b5-4d-96-51","10.0.4.11","E_shyshko_nb.tscrm.com"
"70-5a-0f-1f-ed-9a","10.0.4.12","m_shportak_nb.tscrm.com"
"a0-8c-fd-2d-23-56","10.0.4.13","s_kravchenko_nb.tscrm.com"
"48-ba-4e-47-b3-25","10.0.4.14","v_gorelik_nb.tscrm.com"
"c8-d9-d2-89-55-cb","10.0.4.15","v_sarbash_nb.tscrm.com"
"70-5a-0f-21-18-56","10.0.4.16","m_kikteva_nb.tscrm.com"
"10-e7-c6-df-04-ce","10.0.4.17","s_bulanov_nb.tscrm.com"
"b4-b5-2f-7e-f6-12","10.0.4.18","v_priz_nb.tscrm.com"
"04-0e-3c-a7-11-20","10.0.4.19","a_bondar_nb.tscrm.com"
"98-e7-f4-4d-5a-5f","10.0.4.20","A_Klochkov_N.tscrm.com"
"70-5a-0f-21-1d-4a","10.0.4.21","d_shevchuk_nb.tscrm.com"
"ec-8e-b5-5b-ee-2e","10.0.4.22","V_Romaniuk_N.tscrm.com"
"70-5a-0f-21-21-60","10.0.4.23","d_fedchenko_nb.tscrm.com"
"b4-b6-86-df-56-9f","10.0.4.24","m_kukhar_n.tscrm.com"
"b4-b6-86-df-50-7e","10.0.4.25","v_yankovskaya_nb.tscrm.com"
"e4-e7-49-43-a7-8d","10.0.4.26","i_telezhenko_nb.tscrm.com"
"04-69-f8-eb-b8-ae","10.0.4.27","MacBookTashaYel.tscrm.com"
"84-a9-3e-0a-ce-6f","10.0.4.28","s_amelchyts_n.tscrm.com"
"84-a9-3e-0a-c9-ce","10.0.4.29","s_bodyaka_n.tscrm.com"
"c8-d9-d2-89-55-7c","10.0.4.30","s_kutishchev_n.tscrm.com"
"70-5a-0f-21-21-71","10.0.4.31",
"d8-cb-8a-df-c4-fa","10.0.4.32","y_shutko.tscrm.com"
"b4-b6-86-e6-07-f8","10.0.4.33","s_holub_nb.tscrm.com"
"98-e7-f4-4d-57-6f","10.0.4.34","i_suprun_nb.tscrm.com"
"b4-b5-2f-7e-f8-a9","10.0.4.35","o_portianko_nb.tscrm.com"
"dc-4a-3e-e2-4d-13","10.0.4.36","s_kachan_nb.tscrm.com"
"10-62-e5-81-98-9a","10.0.4.39","e_chornyi_nb.tscrm.com"
"28-04-00-0a","10.0.4.40","BAD_ADDRESS"
"70-5a-0f-1f-f3-5a","10.0.4.41","M_Tykhun_NB.tscrm.com"
"84-a9-3e-0a-c6-52","10.0.4.42","s_goncharov_n.tscrm.com"
"84-a9-3e-0a-ce-69","10.0.4.43","m_yamkovoy_nb.tscrm.com"
"84-a9-3e-0a-c9-cd","10.0.4.44","s_taran_n.tscrm.com"
"84-a9-3e-09-42-0c","10.0.4.45","n_zhukovskaya_n.tscrm.com"
"fc-aa-14-da-cf-27","10.0.4.46","minint-55qpjpq.tscrm.com"
"dc-4a-3e-de-8b-a6","10.0.4.47","k_bychyk_nb.tscrm.com"
"84-a9-3e-0a-ce-64","10.0.4.48","v_metlyaeva_nb.tscrm.com"
"f8-b4-6a-aa-4c-5f","10.0.4.51","j_rudaya_n.tscrm.com"
"dc-4a-3e-de-8e-1f","10.0.4.52","d_liutenko_nb.tscrm.com"
"e4-e7-49-43-9e-12","10.0.4.53","a_stadnichen_nb.tscrm.com"
"f8-b4-6a-aa-4c-5a","10.0.4.54","n_antontseva_n.tscrm.com"
"f8-b4-6a-aa-4c-5e","10.0.4.58","a_ostapchuk_nb.tscrm.com"
"dc-4a-3e-de-8c-23","10.0.4.61","v_dolzhenets_n.tscrm.com"
"b4-b6-86-df-56-f0","10.0.4.65","a_nohal_nb.tscrm.com"
"50-e5-49-30-4a-fb","10.0.4.66","o_shvets.tscrm.com"
"ac-e2-d3-5b-08-36","10.0.4.70","a_prysiazhniuk.tscrm.com"
"70-5a-0f-21-1e-74","10.0.4.72","A_Leiko_N.tscrm.com"
"3c-52-82-32-bb-ea","10.0.4.73","i_komarov_nb.tscrm.com"
"98-e7-f4-4d-58-35","10.0.4.75","N_Bershadskiy_N.tscrm.com"
"1c-6f-65-3f-2a-c0","10.0.4.76","TS-WDS-Test.tscrm.com"
"e4-e7-49-43-a3-b5","10.0.4.77","b_kulish_nb.tscrm.com"
"a0-8c-fd-2b-a4-8c","10.0.4.78","I_Pokhilenko_NB.tscrm.com"
"84-a9-3e-0a-ce-80","10.0.4.79","y_kazabekov_nb.tscrm.com"
"c8-d3-ff-d5-33-12","10.0.4.82","Y_Pshenichnyi_nb.tscrm.com"
"ac-e2-d3-61-ae-bb","10.0.4.83","o_khurtyk_nb.tscrm.com"
"70-5a-0f-1f-f7-38","10.0.4.84","a_sochka_n.tscrm.com"
"b4-b6-86-e6-08-1b","10.0.4.85","i_prisiazhniuk.tscrm.com"
"b4-b5-2f-7e-f5-31","10.0.4.87","m_rudko_nb.tscrm.com"
"c8-d3-ff-d1-d1-fa","10.0.4.88","v_abysova_nb.tscrm.com"
"70-5a-0f-1f-f3-59","10.0.4.90","v_tseluyko_n.tscrm.com"
"f8-b4-6a-aa-45-68","10.0.4.91","o_onishchenko_nb.tscrm.com"
"98-e7-f4-4d-56-8f","10.0.4.92","j_rusnak_nb.tscrm.com"
"70-5a-0f-1f-b3-77","10.0.4.93","v_matiushenko_n.tscrm.com"
"80-e8-2c-27-76-cf","10.0.4.101","a-tsyrul.tscrm.com"
"b4-b6-86-df-54-13","10.0.4.102","d_milenko_nb.tscrm.com"
"ac-e2-d3-61-ac-60","10.0.4.103","e_tsymbal_nb.tscrm.com"
"84-a9-3e-09-42-08","10.0.4.104","a_lafa_n.tscrm.com"
"b4-b5-2f-90-13-7e","10.0.4.106","j_tromsa_nb.tscrm.com"
"fc-75-16-56-e6-da","10.0.4.107","v_ponyrko.tscrm.com"
"00-1c-42-55-37-16","10.0.4.110","a_tom_01.tscrm.com"
"00-e0-4c-68-20-ce","10.0.4.111","Thresher.tscrm.com"
"c8-d3-ff-d5-32-98","10.0.4.113","K_romas_nb.tscrm.com"
"70-5a-0f-23-aa-8b","10.0.4.117","o_piskun_nb.tscrm.com"
"84-a9-3e-0a-c9-c2","10.0.4.120","m_shavritskiy.tscrm.com"
"98-e7-f4-4b-e9-1f","10.0.4.122","E_Horbatsevych_.tscrm.com"
"f8-b4-6a-a2-00-f3","10.0.4.130","d_korol_nb.tscrm.com"
"84-a9-3e-0a-c6-37","10.0.4.133","k_nosach_n.tscrm.com"
"70-5a-0f-23-aa-29","10.0.4.134","a_tregubova_n.tscrm.com"
