#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"1c-1b-0d-2a-98-b6","10.0.1.1","minint-sdleau2.tscrm.com"
"00-0b-82-55-18-5e","10.0.1.2",
"28-d2-44-4d-ce-f5","10.0.1.3","n_romanyuk.tscrm.com"
"00-e0-4c-68-32-1d","10.0.1.4","v_naboka_nb.tscrm.com"
"a4-5d-36-c9-ee-42","10.0.1.5","Guard.tscrm.com"
"b4-b5-2f-87-84-98","10.0.1.6","a_dudka_nb.tscrm.com"
"40-8d-5c-d7-36-4e","10.0.1.7","Tsmusic01.tscrm.com"
"40-8d-5c-8f-4b-9f","10.0.1.8","DESKTOP-DLJQJVD.tscrm.com"
"28-d2-44-4d-cd-f5","10.0.1.9","a_savran_nb.tscrm.com"
"1c-1b-0d-2a-98-43","10.0.1.10","minint-df6f34k.tscrm.com"
"28-d2-44-4d-ca-ee","10.0.1.11","e_sitovskaya_nb.tscrm.com"
"28-d2-44-5d-66-8b","10.0.1.12","v_rudenko_nb.tscrm.com"
"0d-01-00-0a","10.0.1.13","BAD_ADDRESS"
"28-d2-44-4d-cf-3d","10.0.1.14","e_zhyvets_nb.tscrm.com"
"1c-1b-0d-86-59-3b","10.0.1.15","tsnews_hr_01.tscrm.com"
"28-d2-44-4d-ca-f8","10.0.1.16","i_ksenchina_nb.tscrm.com"
"28-d2-44-4d-d4-92","10.0.1.17","t_ovsiukhno_nb.tscrm.com"
"70-5a-0f-1f-f3-25","10.0.1.18","a_karnaukhova_nb.tscrm.com"
"dc-0e-a1-8a-71-9b","10.0.1.20","Admin-PC.tscrm.com"
"b8-70-f4-19-79-eb","10.0.1.21","Guard.tscrm.com"
"00-e0-4c-68-28-b9","10.0.1.22","e_zhyvets_nb.tscrm.com"
"a4-5d-36-c9-f2-06","10.0.1.23","hr_team02_nb.tscrm.com"
"28-d2-44-4d-d4-a6","10.0.1.24","s_khyzhniak_n.tscrm.com"
"ec-8e-b5-4b-a5-00","10.0.1.25","y_rudenko_nb.tscrm.com"
"1c-6f-65-91-13-79","10.0.1.26","guard_reception.tscrm.com"
"f4-f2-6d-10-65-e1","10.0.1.27","DESKTOP-DLJQJVD.tscrm.com"
"70-5a-0f-1f-b3-7c","10.0.1.28","o_vasilevskyi_.tscrm.com"
"28-d2-44-4d-d1-5c","10.0.1.29","a_melnykova_nb.tscrm.com"
"40-8d-5c-d5-ff-dc","10.0.1.30","Tsmusic01.tscrm.com"
"28-d2-44-4d-cd-ef","10.0.1.31","o_grigorjeva_n.tscrm.com"
"98-e7-f4-4d-56-c7","10.0.1.32","l_sinkovskaya_n.tscrm.com"
"9c-b6-54-1d-b7-e1","10.0.1.33","a_lupenko_nb.tscrm.com"
"a0-8c-fd-2b-a3-42","10.0.1.34","a_moyseenko_nb.tscrm.com"
"b4-b5-2f-7e-f6-18","10.0.1.36","0911_n.tscrm.com"
"dc-4a-3e-e2-00-35","10.0.1.42","y_zavedeya_n.tscrm.com"
"80-a5-89-cc-59-7d","10.0.1.238","tsnews01.tscrm.com"
"74-c6-3b-89-92-07","10.0.1.239","tsnews02.tscrm.com"
