#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"e4-e7-49-42-84-a9","10.10.30.1","a_kiselev_n.tscrm.com"
"00-0b-82-ef-95-b2","10.10.30.2",
"00-0b-82-40-ba-4b","10.10.30.3","BAD_ADDRESS"
"00-0b-82-c3-fa-4b","10.10.30.4",
"00-0b-82-93-7d-3c","10.10.30.5",
"00-04-f2-fc-4f-e9","10.10.30.6","Polycom_0004f2fc4fe9.tscrm.com"
"00-0b-82-78-bd-71","10.10.30.7",
"00-0b-82-78-ae-20","10.10.30.8",
"48-ba-4e-47-af-82","10.10.30.9","A_Kontorovskiy_.tscrm.com"
"00-0b-82-93-7d-40","10.10.30.10",
"00-0b-82-40-bc-7b","10.10.30.11",
"dc-fb-48-32-a7-35","10.10.30.12","a_chentsov_nb.tscrm.com"
"00-0b-82-bc-76-25","10.10.30.13","BAD_ADDRESS"
"00-0b-82-98-8d-5e","10.10.30.14",
"7c-b0-c2-6e-01-e0","10.10.30.15","A_volkova_nb.tscrm.com"
"00-0b-82-4d-fc-bd","10.10.30.16",
"f8-94-c2-d8-17-c9","10.10.30.17","V_Chanyshev_nb.tscrm.com"
"00-0b-82-90-5f-c2","10.10.30.18",
"1c-1b-b5-13-35-8f","10.10.30.19","b_bambysheva_nb.tscrm.com"
"14-1e-0a-0a","10.10.30.20","BAD_ADDRESS"
"1c-1b-b5-0f-0b-27","10.10.30.21","N_Kovaleva_nb.tscrm.com"
"b0-52-16-55-81-a5","10.10.30.22","a_kalinin_nb.tscrm.com"
"f8-94-c2-d8-19-2c","10.10.30.23","p_vasiliev_nb.tscrm.com"
"00-0b-82-4c-70-ea","10.10.30.24",
"dc-fb-48-32-34-03","10.10.30.25","a_savelyev_nb.tscrm.com"
"00-0b-82-55-18-59","10.10.30.26",
"00-0b-82-bb-56-c0","10.10.30.27",
"00-0b-82-bc-76-2e","10.10.30.28",
"80-e8-2c-27-12-98","10.10.30.29","a_chentsov_nb.tscrm.com"
"ac-e2-d3-5b-08-2e","10.10.30.30","E_Demidova_N.tscrm.com"
"00-0b-82-90-5f-cb","10.10.30.31",
"00-0b-82-98-8d-55","10.10.30.32",
"00-0b-82-40-ba-53","10.10.30.33",
"00-0b-82-45-76-48","10.10.30.34","BAD_ADDRESS"
"dc-a2-66-66-57-b9","10.10.30.35","e_shilina_n.tscrm.com"
"00-0b-82-8a-e7-ae","10.10.30.36",
"1c-1b-b5-2e-ec-94","10.10.30.37","a_kiselev_n.tscrm.com"
"00-0b-82-bc-76-2f","10.10.30.38","BAD_ADDRESS"
"00-0b-82-45-7e-f8","10.10.30.39","BAD_ADDRESS"
"00-0b-82-40-be-02","10.10.30.40",
"00-0b-82-98-8d-61","10.10.30.41",
"00-0b-82-98-8d-5a","10.10.30.42",
"0c-96-e6-91-4a-b5","10.10.30.43","s_panov_n.tscrm.com"
"88-b1-11-cb-0d-81","10.10.30.44","moscow_tmp.tscrm.com"
"80-e8-2c-0d-52-a7","10.10.30.45","S_EGOROVA_NB.tscrm.com"
"7c-b0-c2-6d-eb-3d","10.10.30.46","G_Arutunov_nb.tscrm.com"
"00-0b-82-98-8d-56","10.10.30.47",
"00-0b-82-90-5f-c3","10.10.30.48",
"c8-d9-d2-89-55-78","10.10.30.49","e_shilina_n.tscrm.com"
"98-2c-bc-39-a4-77","10.10.30.50","A_nesterchuk_nb.tscrm.com"
"80-e8-2c-0d-40-f4","10.10.30.51","m_kilasov_nb.tscrm.com"
"00-0b-82-93-7d-44","10.10.30.52",
"00-0b-82-bc-76-21","10.10.30.53",
"7c-b0-c2-e8-d5-78","10.10.30.54","D_Rovnov_NB.tscrm.com"
"9c-30-5b-ad-0e-53","10.10.30.55","a_osipova_nb.tscrm.com"
"f8-94-c2-d7-d6-ab","10.10.30.56","E_Demidova_N.tscrm.com"
"48-ba-4e-47-b2-1b","10.10.30.57","moscow_tmp.tscrm.com"
"6c-2b-59-5f-3f-97","10.10.30.58","A_nesterchuk_nb.tscrm.com"
"00-0b-82-93-7d-41","10.10.30.59",
"00-0b-82-78-bd-3a","10.10.30.60",
"00-0b-82-bc-76-23","10.10.30.61",
"88-b1-11-c3-df-a7","10.10.30.62","A_Kontorovskiy_.tscrm.com"
"00-0b-82-79-f4-2e","10.10.30.63",
"00-0b-82-55-18-58","10.10.30.64",
"64-16-7f-47-31-7a","10.10.30.65","Polycom_64167f47317a.tscrm.com"
"00-0b-82-40-b9-6b","10.10.30.66",
"00-0b-82-93-7d-3d","10.10.30.68",
"00-0b-82-79-f8-18","10.10.30.69",
"48-ba-4e-47-af-ba","10.10.30.70","s_shapoval_nb.tscrm.com"
"c8-d3-ff-d1-d1-de","10.10.30.71","l_parahnina_nb.tscrm.com"
"80-e8-2c-27-15-4c","10.10.30.74","S_Berezhnoy_nb.tscrm.com"
"ac-e2-d3-61-af-ee","10.10.30.75","m_safonov_nb.tscrm.com"
"dc-a2-66-66-5b-d1","10.10.30.76","v_chillap_nb.tscrm.com"
"00-0b-82-8a-e7-b0","10.10.30.78",
"ac-e2-d3-5b-07-5b","10.10.30.79","V_Chanyshev_nb.tscrm.com"
"00-0b-82-40-b9-6d","10.10.30.80",
"40-b0-34-48-b9-98","10.10.30.81","a_kesya_n.tscrm.com"
"00-0b-82-8a-e0-05","10.10.30.82",
"40-b0-34-48-bb-41","10.10.30.83","i_trusova_nb.tscrm.com"
"00-0b-82-93-7e-e4","10.10.30.84",
"c8-d3-ff-d1-d3-b8","10.10.30.85","S_ISAEV_NB.tscrm.com"
"80-e8-2c-0d-51-fe","10.10.30.86","M_dekapoltsev_nb.tscrm.com"
"40-b0-34-48-b2-39","10.10.30.87","T_Fedorova_nb.tscrm.com"
"00-0b-82-90-5f-c7","10.10.30.88",
"00-0b-82-bc-76-28","10.10.30.90",
"40-b0-34-48-b2-8d","10.10.30.91","A_semikhina_nb.tscrm.com"
"3c-f0-11-46-dc-e6","10.10.30.92","M_dekapoltsev_nb.tscrm.com"
"00-0b-82-45-20-e1","10.10.30.93",
"00-0b-82-98-8d-57","10.10.30.94",
"e4-e7-49-42-82-9b","10.10.30.95","A_KVITKA_NB.tscrm.com"
"40-b0-34-48-c3-c3","10.10.30.96","v_chenchyk_nb.tscrm.com"
"00-0b-82-98-8d-62","10.10.30.97",
"00-0b-82-37-03-4d","10.10.30.98",
"b0-52-16-55-88-e9","10.10.30.99","i_brykalov_nb.tscrm.com"
"c8-d3-ff-d1-d1-e2","10.10.30.100","V_Baranov_NB.tscrm.com"
"00-0b-82-45-20-dd","10.10.30.101",
"7c-b0-c2-e8-d4-65","10.10.30.106","l_parahnina_nb.tscrm.com"
"40-b0-34-48-bb-f4","10.10.30.107","r_magdeev_nb.tscrm.com"
"7c-b0-c2-72-ec-d2","10.10.30.108","p_glotov_nb.tscrm.com"
"08-d4-0c-f2-35-6e","10.10.30.109","m_tertyshnyy_nb.tscrm.com"
"10-e7-c6-df-05-7d","10.10.30.111","a_osipova_nb.tscrm.com"
"9c-30-5b-ad-1e-df","10.10.30.112","t_amanzhulov_n.tscrm.com"
"10-62-e5-81-98-83","10.10.30.113","e_vasylenko_nb.tscrm.com"
"ac-2b-6e-66-8c-8a","10.10.30.114","S_ISAEV_NB.tscrm.com"
"e4-e7-49-43-a2-1f","10.10.30.115","s_panov_n.tscrm.com"
"ac-2b-6e-66-8c-a8","10.10.30.117","E_kraseev_nb.tscrm.com"
"c8-d9-d2-89-55-c7","10.10.30.118","v_chillap_nb.tscrm.com"
"80-e8-2c-27-15-45","10.10.30.120","a_savelyev_nb.tscrm.com"
"40-b0-34-48-c3-ba","10.10.30.121","p_glotov_nb.tscrm.com"
"40-b0-34-48-bd-e8","10.10.30.124","F_Mamedov_NB.tscrm.com"
"c8-d3-ff-d1-d1-dc","10.10.30.127","D_Rovnov_NB.tscrm.com"
"80-e8-2c-27-15-42","10.10.30.128","M_Lebedev_nb.tscrm.com"
"e4-e7-49-42-80-35","10.10.30.129","ko_krylov_nb.tscrm.com"
"7c-b0-c2-e8-e3-ba","10.10.30.131","i_nikulaev_nb.tscrm.com"
"ac-e2-d3-54-16-67","10.10.30.132","a_kalinin_nb.tscrm.com"
"00-0b-82-4d-fc-b9","10.10.30.133",
"7c-b0-c2-72-e0-0c","10.10.30.134","r_magdeev_nb.tscrm.com"
"00-0b-82-ea-46-4e","10.10.30.135",
"7c-b0-c2-72-dd-64","10.10.30.136","v_chenchyk_nb.tscrm.com"
"00-0b-82-98-8d-60","10.10.30.138",
"00-0b-82-ef-95-af","10.10.30.139",
"80-e8-2c-27-13-f9","10.10.30.145","a_maltseva_nb.tscrm.com"
"e4-e7-49-42-86-0f","10.10.30.146","N_Kovaleva_nb.tscrm.com"
"00-0b-82-79-f3-f7","10.10.30.147",
"1c-1b-b5-13-2a-09","10.10.30.148","ko_krylov_nb.tscrm.com"
"7c-b0-c2-6e-01-59","10.10.30.152","A_semikhina_nb.tscrm.com"
"00-0b-82-45-76-49","10.10.30.153",
"3c-f0-11-41-91-28","10.10.30.154","m_sokolskih_nb.tscrm.com"
"ac-e2-d3-5b-08-c5","10.10.30.155","msk_syspreped.tscrm.com"
"7c-b0-c2-72-e0-2f","10.10.30.157","i_trusova_nb.tscrm.com"
"e4-e7-49-42-80-4d","10.10.30.163","b_bambysheva_nb.tscrm.com"
"80-e8-2c-0d-42-44","10.10.30.173","N_Sidenko_nb.tscrm.com"
"68-07-15-6c-19-57","10.10.30.175","a_guseva_nb.tscrm.com"
"40-8d-5c-d7-36-54","10.10.30.220","TSShow_MSK.tscrm.com"
"00-e0-db-45-10-c0","10.10.30.240","GS-8215434510C0DP.tscrm.com"
"d8-49-2f-63-f3-0e","10.10.30.246","d8492f63f30e"
