#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"1c-1b-0d-2a-98-52","10.0.2.1","minint-ef55k7m.tscrm.com"
"fc-aa-14-ff-a0-5c","10.0.2.2","minint-h3j24au.tscrm.com"
"e8-40-f2-18-ef-8c","10.0.2.4","minint-uv1lie9.tscrm.com"
"40-b0-76-a2-6b-74","10.0.2.5","v_kondybin.tscrm.com"
"fc-aa-14-fe-1d-2a","10.0.2.6","minint-lpqtc3k.tscrm.com"
"1c-1b-0d-86-59-60","10.0.2.7","minint-71kdpvo.tscrm.com"
"40-8d-5c-d7-ff-45","10.0.2.8","minint-jt5dh5u.tscrm.com"
"40-8d-5c-d7-33-06","10.0.2.9","minint-kp65436.tscrm.com"
"70-85-c2-8a-64-31","10.0.2.10","p_kirilov.tscrm.com"
"1c-1b-0d-86-57-eb","10.0.2.11","minint-88l4t72.tscrm.com"
"04-d9-f5-64-a7-f7","10.0.2.12","v_bratskyi.tscrm.com"
"f8-d1-11-00-f7-98","10.0.2.13","TestServer2019.tscrm.com"
"70-85-c2-8e-be-ff","10.0.2.14","m_sulikovski.tscrm.com"
"08-00-27-61-3e-2b","10.0.2.15","BAD_ADDRESS"
"70-5a-0f-21-16-03","10.0.2.16","Cloud-team.tscrm.com"
"70-85-c2-8e-67-e2","10.0.2.17","e_pinchuk.tscrm.com"
"12-02-00-0a","10.0.2.18","BAD_ADDRESS"
"1c-1b-0d-2a-98-4f","10.0.2.19","minint-diqjqe3.tscrm.com"
"70-85-c2-84-f9-bd","10.0.2.20","e_slapik.tscrm.com"
"84-a9-3e-0a-c6-41","10.0.2.21","r_prus_nb.tscrm.com"
"16-02-00-0a","10.0.2.22","BAD_ADDRESS"
"70-85-c2-7f-68-bc","10.0.2.23","d_krestov.tscrm.com"
"40-8d-5c-d7-fb-ef","10.0.2.24","minint-k27q6si.tscrm.com"
"40-b0-76-a2-69-da","10.0.2.25","v_lemeshko01.tscrm.com"
"1c-1b-0d-86-55-f1","10.0.2.26","minint-q7mki0t.tscrm.com"
"1b-02-00-0a","10.0.2.27","BAD_ADDRESS"
"00-0a-cd-31-16-41","10.0.2.28","Andrejs-MBP.tscrm.com"
"40-8d-5c-f9-c8-06","10.0.2.29","minint-8j8pv23.tscrm.com"
"70-85-c2-8e-62-3e","10.0.2.30","v_zenich01.tscrm.com"
"68-05-ca-05-ed-96","10.0.2.31","s_levchenko.tscrm.com"
"40-8d-5c-d7-fe-88","10.0.2.32","TSSTATS2-4.tscrm.com"
"1c-6f-65-e9-f8-81","10.0.2.33","A_ZVEREV.tscrm.com"
"70-85-c2-83-16-40","10.0.2.34","a_bondarenko.tscrm.com"
"70-85-c2-8a-63-18","10.0.2.35","a_dudka.tscrm.com"
"04-d9-f5-64-ad-91","10.0.2.36","d_hordiienko.tscrm.com"
"1c-1b-0d-86-58-bd","10.0.2.37","minint-kd8mftb.tscrm.com"
"40-8d-5c-d7-fc-94","10.0.2.38","minint-iu65h50.tscrm.com"
"40-8d-5c-d7-32-8a","10.0.2.39","minint-6k54bba.tscrm.com"
"1c-1b-0d-2a-98-b2","10.0.2.40","minint-5m47035.tscrm.com"
"00-e0-4c-68-01-63","10.0.2.41","DESKTOP-4NOIF9B.tscrm.com"
"70-54-d2-16-22-c7","10.0.2.42","minint-1hvaqtt.tscrm.com"
"1c-1b-0d-86-59-b7","10.0.2.43","minint-b14lasn.tscrm.com"
"70-85-c2-8e-66-ff","10.0.2.44","DESKTOP-I2KB5F8.tscrm.com"
"b4-b5-2f-87-85-13","10.0.2.45","sales_brains_nb.tscrm.com"
"70-85-c2-8e-65-1f","10.0.2.46","m_mikhaylenko.tscrm.com"
"40-8d-5c-d7-fe-ea","10.0.2.47","minint-m0d7mtc.tscrm.com"
"70-85-c2-8e-be-5d","10.0.2.48","e_baranov.tscrm.com"
