#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"00-0b-82-4c-73-d7","10.0.16.2","BAD_ADDRESS"
"00-0b-82-45-1f-b9","10.0.16.3","BAD_ADDRESS"
"00-0b-82-33-c6-77","10.0.16.4","BAD_ADDRESS"
"00-0b-82-33-b2-85","10.0.16.5",
"00-0b-82-45-1f-bb","10.0.16.7","BAD_ADDRESS"
"00-0b-82-40-b9-73","10.0.16.8",
"00-0b-82-93-7d-59","10.0.16.9",""
"00-0b-82-40-bd-3d","10.0.16.10",
"00-0b-82-37-03-4e","10.0.16.11",
"00-0b-82-40-bc-80","10.0.16.12","BAD_ADDRESS"
"00-0b-82-4d-fc-b8","10.0.16.13","BAD_ADDRESS"
"00-0b-82-45-20-17","10.0.16.14","BAD_ADDRESS"
"00-0b-82-40-bd-f5","10.0.16.15",
"00-0b-82-45-1e-e9","10.0.16.16","BAD_ADDRESS"
"00-0b-82-8a-e0-01","10.0.16.17","BAD_ADDRESS"
"00-0b-82-4c-70-e8","10.0.16.18","BAD_ADDRESS"
"00-0b-82-98-8d-59","10.0.16.20","BAD_ADDRESS"
"00-0b-82-40-bd-6f","10.0.16.21","BAD_ADDRESS"
"00-0b-82-45-1f-85","10.0.16.22","BAD_ADDRESS"
"00-0b-82-40-bc-ba","10.0.16.23","BAD_ADDRESS"
"00-0b-82-79-f8-16","10.0.16.24","BAD_ADDRESS"
"00-0b-82-79-f8-1a","10.0.16.25","BAD_ADDRESS"
"00-0b-82-78-bd-6f","10.0.16.26",
"00-0b-82-4d-fc-b5","10.0.16.27",
"00-0b-82-4d-fc-be","10.0.16.28",
"00-0b-82-8f-0c-ff","10.0.16.29","BAD_ADDRESS"
"00-0b-82-45-1e-eb","10.0.16.30","BAD_ADDRESS"
"00-0b-82-93-7d-62","10.0.16.31","BAD_ADDRESS"
"00-0b-82-45-20-16","10.0.16.33","BAD_ADDRESS"
"00-0b-82-45-1f-c3","10.0.16.34",
"00-0b-82-98-8d-5c","10.0.16.35","BAD_ADDRESS"
"00-0b-82-93-7d-37","10.0.16.36","BAD_ADDRESS"
"00-0b-82-8a-e7-af","10.0.16.37","BAD_ADDRESS"
"00-0b-82-c3-fa-4f","10.0.16.38","BAD_ADDRESS"
"00-0b-82-45-1f-c1","10.0.16.39","BAD_ADDRESS"
"00-0b-82-4c-73-da","10.0.16.40",
"00-0b-82-98-8d-5b","10.0.16.41","BAD_ADDRESS"
"00-0b-82-45-7e-f6","10.0.16.42","BAD_ADDRESS"
"00-0b-82-c3-fa-49","10.0.16.43","BAD_ADDRESS"
"00-0b-82-79-f8-10","10.0.16.44","BAD_ADDRESS"
"00-0b-82-79-f4-41","10.0.16.45","BAD_ADDRESS"
"00-0b-82-40-bc-b4","10.0.16.46",
