#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"00-50-56-b1-1a-4c","10.0.12.121","Study-01.tscrm.com"
"00-50-56-b1-00-7d","10.0.12.122","Study-02.tscrm.com"
"00-50-56-b1-26-19","10.0.12.123","Study-03.tscrm.com"
"00-50-56-b1-22-da","10.0.12.124","Study-04.tscrm.com"
"00-50-56-b1-56-78","10.0.12.125","Study-05.tscrm.com"
"00-50-56-b1-31-52","10.0.12.126","Study-06.tscrm.com"
"00-50-56-b1-24-56","10.0.12.127","Study-07.tscrm.com"
"00-50-56-b1-7c-86","10.0.12.128","Study-08.tscrm.com"
"00-50-56-b1-51-1a","10.0.12.129","Study-09.tscrm.com"
"00-50-56-b1-0e-d1","10.0.12.130","Study-10.tscrm.com"
"00-50-56-a4-fc-3b","10.0.12.131","R-Voloshin.tscrm.com"
"00-50-56-a4-4b-64","10.0.12.132","tscore-dev-37.tscrm.com"
"00-50-56-a4-00-11","10.0.12.133","WINXP_SUPPORT.tscrm.com"
"2d-1a-a1-33-00-02-00-00-ab-11-c5-c3-65-e8-8e-83-21-8d","10.0.12.134","tscore-dev-39.tscrm.com"
"00-50-56-b1-2f-11","10.0.12.135","ts1-t002-redis01"
"00-50-56-a4-ee-c6","10.0.12.136","tscore-dev-02.tscrm.com"
"00-50-56-a4-20-08","10.0.12.137","ts1-infr-novak.tscrm.com"
"00-50-56-a4-02-9e","10.0.12.138","A-Petrunenko.tscrm.com"
"00-50-56-a4-10-ab","10.0.12.139","tscore-dev-36.tscrm.com"
"00-50-56-a4-52-ca","10.0.12.140","ts1-portal-web1.tscrm.com"
"ac-1f-6b-cc-dc-f2","10.0.12.141","ts1-srv-hv01.tscrm.com"
"00-50-56-a4-99-ac","10.0.12.142","ts1-sec-test01.tscrm.com"
"00-50-56-a4-b1-69","10.0.12.143","ovztest.tscrm.com"
"00-50-56-a4-c1-33","10.0.12.144","ts1-ctlad-dc02.ctl.com"
"00-50-56-a4-46-7b","10.0.12.145","A-Krivolapova.tscrm.com"
"9f-6e-85-24-00-02-00-00-ab-11-39-31-24-65-3a-92-0c-ea","10.0.12.146","ts1-k8s-node09.tscrm.com"
"00-50-56-a4-8a-85","10.0.12.147","ts1-xwiki.tscrm.com"
"56-a4-49-29-00-04-b0-a5-24-42-1a-64-32-fe-58-59-4f-e3-bf-49-0e-cb","10.0.12.148","d-smishchenko.tscrm.com"
"00-50-56-a4-2f-c1","10.0.12.149","ts1-xwiki-old.tscrm.com"
"00-50-56-a4-24-78","10.0.12.150",
"00-50-56-a4-fb-52","10.0.12.151","ts1-def-work01.tscrm.com"
"00-50-56-a4-f5-fa","10.0.12.152","N-Lytvynenko.tscrm.com"
"00-50-56-a4-6e-88","10.0.12.153","tssyslog02.tscrm.com"
"00-50-56-a4-69-11","10.0.12.154","ts1-infr-k8s.tscrm.com"
"00-50-56-a4-5c-a2","10.0.12.155","ts1-sec-ssl.tscrm.com"
"00-50-56-a4-4f-a4","10.0.12.156","A-Orlovska.tscrm.com"
"00-50-56-a4-6d-02","10.0.12.157","BadCI.tscrm.com"
"00-50-56-a4-b9-08","10.0.12.158","logstash.tscrm.com"
"00-50-56-a4-d9-cf","10.0.12.159","m-kysla.tscrm.com"
"00-50-56-a4-a4-34","10.0.12.160","k8s-infr.tscrm.com"
"00-50-56-a4-b6-e0","10.0.12.161","ts1-scoring-app01.tscrm.com"
"00-50-56-a4-3b-c2","10.0.12.162","a-tsyrul.tscrm.com"
"00-50-56-a4-9f-ab","10.0.12.163","A-Vasyliev.tscrm.com"
"00-50-56-a4-eb-f9","10.0.12.164","M-Yushchyk.tscrm.com"
"00-50-56-a4-58-0e","10.0.12.165","A-Starykh.tscrm.com"
"00-50-56-a4-4a-be","10.0.12.166","ts1-def-ai01.tscrm.com"
"00-50-56-a4-d3-4a","10.0.12.167","ts1-scoring-prc01.tscrm.com"
"00-50-56-a8-0e-04","10.0.12.168","10.0.12.168"
"00-50-56-a8-ec-55","10.0.12.169","10.0.12.169"
"00-50-56-a4-b9-58","10.0.12.170","cert-01.tscrm.com"
"00-50-56-a4-9c-67","10.0.12.171","ts1-oracle-test1.tscrm.com"
"00-50-56-a4-1f-69","10.0.12.172","n-bondar.tscrm.com"
"00-50-56-a4-a7-0a","10.0.12.173","cert-02.tscrm.com"
"00-50-56-a4-3a-76","10.0.12.174","b-zdor.tscrm.com"
"00-50-56-a4-8c-f2","10.0.12.175","T-Rogova.tscrm.com"
"00-50-56-a4-6b-a9","10.0.12.176","ts1-def-dlv01.tscrm.com"
"00-50-56-a4-0a-1a","10.0.12.177","E-Zinchenko02.tscrm.com"
"00-50-56-b1-1d-ae","10.0.12.178","TSCore-SVN.tscrm.com"
"00-50-56-a4-cc-14","10.0.12.179","a-belousko.tscrm.com"
"00-50-56-a4-b6-6b","10.0.12.180","A-Dolya.tscrm.com"
"00-50-56-a4-39-14","10.0.12.181","P-Minchenko.tscrm.com"
"b6-22-0f-eb-00-02-00-00-ab-11-45-d1-a0-23-0d-41-a5-9b","10.0.12.182","ts1-def-vc01.tscrm.com"
"00-50-56-a4-eb-99","10.0.12.183","n-bulyga.tscrm.com"
"00-50-56-a8-16-69","10.0.12.184","10.0.12.184"
"00-50-56-a4-c6-d0","10.0.12.185","a-mishyn.tscrm.com"
"00-50-56-a4-1d-ba","10.0.12.186","ts1-k8s-node06.tscrm.com"
"00-50-56-b1-4e-41","10.0.12.187","Work-Web.tscrm.com"
"00-50-56-a4-ac-b3","10.0.12.188","E-Vorobev.tscrm.com"
"00-50-56-a4-5a-6a","10.0.12.189","t-ponomarov.tscrm.com"
"00-50-56-a4-01-39","10.0.12.191","sitespeed.tscrm.com"
"00-50-56-a8-1d-7c","10.0.12.192","10.0.12.192"
"00-50-56-a4-e1-60","10.0.12.193","partner-kube-nfs.tscrm.com"
"00-50-56-a4-98-34","10.0.12.194","m-hryhoriev.tscrm.com"
"00-50-56-a4-9a-26","10.0.12.195","O-Drobina.tscrm.com"
"00-50-56-b1-53-19","10.0.12.196","TSCore-Task.tscrm.com"
"00-50-56-a4-fb-e8","10.0.12.197","TSAgent-2-10.tscrm.com"
