#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"1c-1b-0d-86-51-70","10.0.3.1","TSSTATS3-4.tscrm.com"
"70-5a-0f-1f-b2-d9","10.0.3.2","y_kuznietsova_n.tscrm.com"
"03-03-00-0a","10.0.3.3","BAD_ADDRESS"
"70-85-c2-7f-70-87","10.0.3.4","f_menshakov.tscrm.com"
"84-a9-3e-0a-c6-3d","10.0.3.5","m_petrova_nb.tscrm.com"
"48-65-ee-13-80-1c","10.0.3.6","MBP-Dmitriy.tscrm.com"
"68-05-ca-05-ed-0c","10.0.3.7","a_demidov.tscrm.com"
"1c-1b-0d-2a-98-97","10.0.3.8","tsshow.tscrm.com"
"09-03-00-0a","10.0.3.9","BAD_ADDRESS"
"70-85-c2-83-38-72","10.0.3.10","a_vanikhin.tscrm.com"
"70-85-c2-83-38-be","10.0.3.11","p_sukhanov.tscrm.com"
"68-5b-35-b5-35-ce","10.0.3.12","MBP-Ivan.tscrm.com"
"a0-ce-c8-d0-6d-56","10.0.3.13","Alexs-MBP-2.tscrm.com"
"70-85-c2-83-19-2f","10.0.3.14","a_serhiichyk.tscrm.com"
"70-85-c2-7f-68-d6","10.0.3.15","d_kuzmenko.tscrm.com"
"84-a9-3e-0a-d0-28","10.0.3.16","a_vitushko_nb.tscrm.com"
"70-85-c2-8e-67-da","10.0.3.17","m_donnik.tscrm.com"
"48-ba-4e-57-81-72","10.0.3.18","v_maliy_nb.tscrm.com"
"fc-aa-14-ff-9f-48","10.0.3.19","minint-0r6rt12.tscrm.com"
"70-85-c2-8e-bf-18","10.0.3.20","e_kovtun.tscrm.com"
"1c-1b-0d-86-57-7e","10.0.3.21","TSSTATS3-6.tscrm.com"
"50-46-5d-54-93-1a","10.0.3.22","A_Repko.tscrm.com"
"40-8d-5c-d7-33-50","10.0.3.23","tsstats3-1.tscrm.com"
"40-8d-5c-d7-35-ec","10.0.3.24","minint-s7luc5v.tscrm.com"
"70-85-c2-85-00-68","10.0.3.25","v_kuvarzin.tscrm.com"
"70-85-c2-73-da-c7","10.0.3.26","d_zdubai.tscrm.com"
"b4-b6-86-e0-33-9b","10.0.3.27","j_sukhaniuk_n.tscrm.com"
"70-85-c2-8e-63-98","10.0.3.28","m_salnikov01.tscrm.com"
"70-5a-0f-1f-ed-99","10.0.3.29","A_Kosolapenko_N.tscrm.com"
"1c-1b-0d-2a-99-16","10.0.3.30","tsstats3-2.tscrm.com"
"cc-ef-48-5a-71-7b","10.0.3.31","SEPCCEF485A717B.tscrm.com"
"70-85-c2-8a-64-4b","10.0.3.32","s_gulevatiy_01.tscrm.com"
"70-85-c2-8e-bf-01","10.0.3.33","v_kasianenko.tscrm.com"
"b4-b6-86-e0-33-94","10.0.3.34","v_aleksieiev_n.tscrm.com"
"70-85-c2-73-dc-06","10.0.3.35","m_zubok.tscrm.com"
