#TYPE Selected.Microsoft.Management.Infrastructure.CimInstance
"ClientId","IPAddress","HostName"
"fc-aa-14-ff-9f-ce","10.0.6.1","minint-rbmmr0e.tscrm.com"
"00-e0-4c-36-00-82","10.0.6.2","Evgenias-MBP.tscrm.com"
"40-8d-5c-d7-fe-d2","10.0.6.3","minint-i5qbdg4.tscrm.com"
"1c-1b-0d-86-58-f0","10.0.6.4","minint-pouviom.tscrm.com"
"00-0a-cd-31-16-41","10.0.6.5","DESKTOP-CVNVF98.tscrm.com"
"8c-16-45-60-1f-88","10.0.6.6","LAPTOP-66G7IS81.tscrm.com"
"70-5a-0f-1f-ed-9a","10.0.6.7","m_shportak_nb.tscrm.com"
"98-e7-f4-4d-59-23","10.0.6.8","l_darsalia_nb.tscrm.com"
"70-5a-0f-21-1b-79","10.0.6.9","a_chernov_nb.tscrm.com"
"00-0b-82-93-7d-3e","10.0.6.10","BAD_ADDRESS"
"70-5a-0f-21-1c-1a","10.0.6.11","n_greder_nb.tscrm.com"
"a4-5d-36-1a-23-71","10.0.6.12","BPMS_UX_NB.tscrm.com"
"c8-d3-ff-e1-b1-04","10.0.6.13","t_prikhodko_nb.tscrm.com"
"dc-4a-3e-e1-fc-97","10.0.6.14","a_hlazkov_nb.tscrm.com"
"b4-b6-86-e0-33-9b","10.0.6.15","j_sukhaniuk_n.tscrm.com"
"dc-4a-3e-de-8a-4d","10.0.6.16","k_burenko_nb.tscrm.com"
"28-d2-44-4d-d2-9a","10.0.6.17","i_samoilenko_n.tscrm.com"
"40-8d-5c-d7-37-90","10.0.6.18","minint-idglr40.tscrm.com"
"40-8d-5c-d7-fb-f8","10.0.6.20","minint-5pb2itc.tscrm.com"
"84-a9-3e-0a-c9-ac","10.0.6.21","a_kubyshkin_nb.tscrm.com"
"a0-8c-fd-2b-a4-8c","10.0.6.22","I_Pokhilenko_NB.tscrm.com"
"40-8d-5c-d7-32-90","10.0.6.23","minint-dsh8cv9.tscrm.com"
"28-d2-44-4d-cb-cd","10.0.6.24","o_zablodskaya_n.tscrm.com"
"00-0b-82-40-bd-f5","10.0.6.25",
"40-8d-5c-fc-29-f0","10.0.6.26","minint-jllgjhu.tscrm.com"
"84-a9-3e-0a-ce-6a","10.0.6.27","n_nikiforov_nb.tscrm.com"
"fc-aa-14-da-cf-ff","10.0.6.28","minint-02tng5j.tscrm.com"
"c8-d3-ff-e2-23-71","10.0.6.29","d_kiper_nb.tscrm.com"
"40-8d-5c-d7-35-d3","10.0.6.30","minint-c189hut.tscrm.com"
"1c-1b-0d-86-55-e7","10.0.6.31","minint-bq72slq.tscrm.com"
"3c-52-82-32-bc-09","10.0.6.32","a_rudyk_nb.tscrm.com"
"1c-1b-0d-2a-98-77","10.0.6.33","minint-1851b17.tscrm.com"
"40-8d-5c-f9-c8-0e","10.0.6.34","minint-v21n6de.tscrm.com"
"b4-b6-86-e0-31-d0","10.0.6.35","i_nechay_nb.tscrm.com"
"1c-1b-0d-86-58-ea","10.0.6.36","minint-etasscn.tscrm.com"
"00-0b-82-40-bc-bf","10.0.6.37",
"1c-1b-0d-2a-98-90","10.0.6.38","minint-jubma7k.tscrm.com"
"10-e7-c6-df-04-ce","10.0.6.39","s_bulanov_nb.tscrm.com"
"40-8d-5c-d7-37-7b","10.0.6.40","minint-de0ked3.tscrm.com"
"f8-b4-6a-a2-04-0d","10.0.6.41","d_kuzko_nb.tscrm.com"
"84-a9-3e-09-42-06","10.0.6.42","a_taran_nb.tscrm.com"
"b0-4a-da-de-69-56","10.0.6.43","a_andrushchenko.tscrm.com"
"b4-b6-86-e0-32-68","10.0.6.44","a_ten_nb.tscrm.com"
"e4-e7-49-43-9e-13","10.0.6.45","v_zhakun_nb.tscrm.com"
"70-5a-0f-21-1a-fa","10.0.6.46","n_inederkina_nb.tscrm.com"
"40-8d-5c-d7-ff-43","10.0.6.47","minint-2a4is78.tscrm.com"
"70-5a-0f-1f-ce-93","10.0.6.48","v_dryzhuk_n.tscrm.com"
"28-d2-44-4d-d1-5c","10.0.6.49","a_melnykova_nb.tscrm.com"
"3c-52-82-32-bc-00","10.0.6.50","b_spasibov_n.tscrm.com"
"c8-d9-d2-89-55-7c","10.0.6.51","s_kutishchev_n.tscrm.com"
"c8-d3-ff-d5-32-98","10.0.6.52","K_romas_nb.tscrm.com"
"48-65-ee-1f-8f-71","10.0.6.53","Anastasias-MBP.tscrm.com"
"84-a9-3e-0a-c9-82","10.0.6.54","d_zigulya_nb.tscrm.com"
"40-8d-5c-d7-fe-3c","10.0.6.55","minint-7pd7k0p.tscrm.com"
"40-8d-5c-d7-fd-4b","10.0.6.56","minint-5rb5s89.tscrm.com"
"1c-1b-0d-26-8b-b7","10.0.6.57","minint-b0e9n08.tscrm.com"
"28-d2-44-4d-d4-92","10.0.6.58","t_ovsiukhno_nb.tscrm.com"
"00-e0-4c-68-1e-f9","10.0.6.59","e_polunina_nb.tscrm.com"
"f8-b4-6a-a2-00-19","10.0.6.60","v_dremlyuk_nb.tscrm.com"
"b4-b6-86-e5-94-03","10.0.6.61","n_rusnak_n.tscrm.com"
